"CountryCode","sim_CHN","sim_USA","infras_frequency","invest_frequency"
"AFG",0.460831711309834,0.297082240948043,0,1
"AGO",0.528140427259307,0.263466239168919,0,1
"ALB",0.502338147397383,0.388321403114048,0,2
"ADO",0.434176965212646,0.425611375784635,0,1
"ARE",0.50876414620501,0.35163192850278,1,3
"ARG",0.354115383752149,0.364276786089352,1,3
"ARM",0.316131759829404,0.268031187795133,0,0
"ATG",0.465999362504069,0.397370194303491,1,1
"AUS",0.354861229902097,0.43980363539504,1,1
"AUT",0.427259183063747,0.47225181206271,0,0
"AZE",0.303205951068515,0.197543532495441,1,0
"BDI",0.381818283708947,0.305394026041265,0,0
"BEL",0.394720908189145,0.513528092886887,0,1
"BEN",0.491832543038935,0.336468042683414,1,0
"BFA",0.489143016035168,0.30815118068937,2,1
"BGD",0.441301103560474,0.319678789365321,2,3
"BGR",0.444708510604396,0.341211560650689,0,0
"BHR",0.469466241903585,0.317339121211806,1,0
"BHS",0.353133777194872,0.264949527777562,0,1
"BIH",0.428834524258092,0.383571640027698,1,3
"BLR",0.426523835828196,0.479434831020555,0,0
"BLZ",0.426326877745582,0.334308672697762,4,7
"BOL",0.430892384142737,0.455056840476683,0,1
"BRA",0.424977983580247,0.34856116667631,3,5
"BRB",0.470028497501364,0.29158946609458,0,2
"BRN",0.528856273431604,0.419979445768062,0,0
"BTN",0.447962265631097,0.352477618752451,0,0
"BWA",0.495397463502641,0.276332605587213,1,0
"CAF",0.404102426904426,0.286041631074964,0,0
"CAN",0.332126952542815,0.500748357802196,0,1
"CHE",0.50198568403473,0.56328351946904,0,0
"CHL",0.502003780122284,0.354094524524917,0,0
"CHN",1,0.470202679017315,0,0
"CIV",0.411200204172434,0.317839782282086,1,1
"CMR",0.335414184634499,0.194610139829714,0,0
"ZAR",0.396981293946952,0.355493002218829,1,1
"COG",0.404500446958696,0.309494122117738,0,0
"COL",0.460231379913717,0.463310496376192,0,1
"COM",0.483653380095164,0.357244516484474,0,1
"CPV",0.51831450376079,0.311502946282489,1,0
"CRI",0.534116635001091,0.459275082196256,0,0
"CUB",0.485231027164668,0.372665067016831,0,0
"CYP",0.48201936397339,0.397208475805432,0,0
"CZE",0.506419156944555,0.415337650258277,0,0
"DEU",0.478213461188876,0.506486400562439,0,0
"DMA",0.367099302761909,0.327072125926199,2,4
"DNK",0.566967460652093,0.512920462012187,0,0
"DOM",0.387271714463472,0.435568717656181,2,0
"DZA",0.470309628717262,0.344616411558858,0,1
"ECU",0.421619346931534,0.357067576539901,0,7
"EGY",0.363331888616143,0.361929030145797,0,1
"ERI",0.467246618779484,0.386314330649591,0,0
"ESP",0.465191799363479,0.407074459936646,0,0
"EST",0.534569889324315,0.486298955087606,1,0
"ETH",0.417343739921436,0.364496121791519,0,0
"FIN",0.458812388469705,0.339600649380133,0,2
"FJI",0.351267921762506,0.390889877941088,0,0
"FRA",0.361239811055836,0.406327168031276,0,0
"FSM",0.383452126272322,0.306046604918808,1,0
"GAB",0.463098538470437,0.272660505626978,1,1
"GBR",0.360336061129247,0.537270606526622,0,0
"GEO",0.444932264352304,0.391318019434222,0,4
"GHA",0.336744048082686,0.419056143276029,1,2
"GIN",0.462661656086186,0.376005973141599,1,3
"GMB",0.518482301243976,0.458593543141782,0,0
"GNB",0.490156928563962,0.286560228992188,0,0
"GNQ",0.388076027990288,0.283701408433898,0,0
"GRC",0.452020576278307,0.287206664959312,0,1
"GRD",0.356716803232015,0.402530302632765,0,1
"GTM",0.414473126419637,0.386449469303683,1,0
"GUY",0.449544369870678,0.393624701703075,1,2
"HND",0.334555817178992,0.480633871301934,0,7
"HRV",0.46042134922759,0.330801032012781,1,1
"HTI",0.501011583075681,0.38622473965325,0,1
"HUN",0.208401189297,0.313332953116399,0,0
"IDN",0.434256882113199,0.475828686739072,0,1
"IND",0.503765700429087,0.524949723174201,0,0
"IRL",0.501501109095537,0.49892419735795,0,0
"IRN",0.417659359157773,0.468570017114183,0,0
"IRQ",0.448463750501033,0.444362205845209,0,0
