"CountryName","AIIB.member","IMF.voting.power","foreign.invest.outflow","foreign.invest.inflow","capital.account","financial.account","reserve.related.item","current.account.balance","total.reserve","GDPgrowth","GNIgrowth","domestic.income","domestic.saving","gross.saving","trade","hightech.export","port.infrastructure","exchange.Rate","mobilephone.access","sim_CHN","sim_USA","infras_frequency","invest_frequency","wordscores"
"Andorra",0,0,2028464135.4058,6170665582.62039,1784519144.81512,-31071987815.7292,1862261522.61155,-35965942067.523,-70935383591.3107,1.41753111707474,0.97930316869834,-374980500525373,12.9272275326771,20.5094379261505,97.4770982166784,16200929,3.89297163712045,-1898.21038510366,66241,0.434176965212646,0.425611375784635,0,1,0.162423723823828
"Afghanistan",0,0.09,0,48756005.3,2097090837.72987,1055715950.70214,1074175109.71563,-3988825375.88047,7528550402.40523,1.31253090764642,2.46078576507042,132796353701153,-21.3670158638063,-7.25189983112537,52.8735636084187,-1069141418.19399,3.80512326168326,57.2475,18407168,0.460831711309834,0.297082240948043,0,1,0.334626653327387
"Angola",0,0.18,4253084047.88522,1921699719.14449,1642995.67,-3433642519.13319,-3430312456.50511,-3747517596.21103,28130311504.4249,4.80447270408375,6.77718895405116,-80763206355731.2,21.1275917913871,9.35794060528306,90.2102239595984,-14621729498.7811,2.7,98.3024168556335,14052558,0.528140427259307,0.263466239168919,0,1,0.41346023541415
"Albania",0,0.06,75671601.8652243,1149384240.80512,115190264.971593,-1237634524.2848,67968518.5455238,-1702759964.1875,2665216202.71336,1.79999999809164,0.452487752032042,659394466823.843,5.59705170043981,11.6572553507563,75.455705589104,917486,3.7,105.47923411584,3359654,0.502338147397383,0.388321403114048,0,2,0.267676848564525
"United Arab Emirates",1,0.49,9019073569.48229,10823379305.5165,1591293840.44276,2898135389.24889,2848796574.85479,10769878360.1773,78424385724.3758,3.07988433054452,2.80826367023003,1240844840961.37,45.4256258167134,31.1479598506142,173.355344938426,1555995856,6.5,3.6725,16819024,0.50876414620501,0.35163192850278,1,3,0.349189257125741
"Argentina",0,0.66,1920541433.10505,5065335541.96486,58864868.1337351,-8216336044.71924,-849825136.203778,-8030722106.5367,31410823483.4143,-2.55847744625616,-2.43361217802811,738186133909.875,18.9582378276159,17.0360138349145,28.2283004904424,1473214194,3.7,8.07527599281334,61234216,0.354115383752149,0.364276786089352,1,3,0.123069160794615
"Armenia",0,0.05,16036515.9694977,404344951.14452,70426938.3146126,-845472220.093863,-545075589.705146,-883114618.912824,1489443392.39267,3.60000000000002,2.21060235501172,1931030476490.62,2.39045833801634,13.4610365793445,75.6116848388122,8317916,2.5,415.919789204938,3459137,0.316131759829404,0.268031187795133,0,0,0.257347472889246
"Antigua and Barbuda",0,0.03,6059259.25925926,154773333.333333,793143669.339399,-5012895879.18127,12632909519.5728,-14507303998.9359,297046138.248293,4.60279348115135,4.09809329501402,2919943208.72818,11.2265136281989,25.903610192732,109.202255681793,0,3.84847588944846,2.7,120041,0.465999362504069,0.397370194303491,1,1,0.170252912058706
"Australia",1,1.34,5664678725.47967,45978797620.4125,-359658321.95824,-41330997629.6376,3644459039.12326,-43202182394.3047,53910346084.4978,2.4998512224341,2.3604240010969,1.584578e+12,26.7314073526201,23.9389551230387,42.3016727482017,4691411621,5,1.10936329281692,31010000,0.354861229902097,0.43980363539504,1,1,0.11085151083368
"Austria",1,0.81,-874310179.93576,1715068690.83548,-464279817.646279,3372927797.15024,2890324647.70724,10150716547.3272,25001505276.7679,0.644844831726999,0.593343180827304,305053798840.694,26.95576446291,26.1630853509785,102.732330239067,19269819029,4.4,-166.319016100451,12952605,0.427259183063747,0.47225181206271,0,0,0.113701450517428
